"Codigo","Estado"
606022,"Activo"
606023,"Activo"
606024,"Activo"
606025,"Activo"
606026,"Activo"
606027,"Activo"
606028,"Activo"
606029,"Activo"
606030,"Activo"
606031,"Activo"
606032,"Activo"
606033,"Activo"
606034,"Activo"
608001,"Activo"
608002,"Activo"
608003,"Activo"
608004,"Activo"
608005,"Activo"
608006,"Activo"
608007,"Activo"
608008,"Activo"
608009,"Activo"
608010,"Activo"
608011,"Activo"
608012,"Activo"
608013,"Activo"
608014,"Activo"
722001,"Activo"
801001,"Activo"
801002,"Activo"
801004,"Activo"
801009,"Activo"
801019,"Activo"
801020,"Activo"
801024,"Activo"
801025,"Activo"
801028,"Activo"
801030,"Activo"
801031,"Activo"
801041,"Activo"
801044,"Activo"
801045,"Activo"
801046,"Activo"
801047,"Activo"
801048,"Activo"
801049,"Activo"
801050,"Activo"
801051,"Activo"
801052,"Activo"
801053,"Activo"
801054,"Activo"
801055,"Activo"
801056,"Activo"
801057,"Activo"
801060,"Activo"
801061,"Activo"
801062,"Activo"
801063,"Activo"
801064,"Activo"
801066,"Activo"
801067,"Activo"
801068,"Activo"
801069,"Activo"
801070,"Activo"
801071,"Activo"
801073,"Activo"
801074,"Activo"
801075,"Activo"
801076,"Activo"
801077,"Activo"
801078,"Activo"
801079,"Activo"
801080,"Activo"
801081,"Activo"
801083,"Activo"
801084,"Activo"
801088,"Activo"
801089,"Activo"
801090,"Activo"
801091,"Activo"
801093,"Activo"
801095,"Activo"
801096,"Activo"
801097,"Activo"
801098,"Activo"
801099,"Activo"
801103,"Activo"
801106,"Activo"
801107,"Activo"
801108,"Activo"
801109,"Activo"
801110,"Activo"
801111,"Activo"
801112,"Activo"
801114,"Activo"
801118,"Activo"
801121,"Activo"
801122,"Activo"
801123,"Activo"
801125,"Activo"
801126,"Activo"
801127,"Activo"
801129,"Activo"
801130,"Activo"
801133,"Activo"
801134,"Activo"
801135,"Activo"
801137,"Activo"
801138,"Activo"
801140,"Activo"
801143,"Activo"
801144,"Activo"
801145,"Activo"
801146,"Activo"
801148,"Activo"
801149,"Activo"
801150,"Activo"
801151,"Activo"
801152,"Activo"
801153,"Activo"
801154,"Activo"
801156,"Activo"
801157,"Activo"
801158,"Activo"
801160,"Activo"
801161,"Activo"
801162,"Activo"
801164,"Activo"
801165,"Activo"
801166,"Activo"
801167,"Activo"
801168,"Activo"
801169,"Activo"
801170,"Activo"
801171,"Activo"
801172,"Activo"
801173,"Activo"
801174,"Activo"
801175,"Activo"
801176,"Activo"
801177,"Activo"
801178,"Activo"
801179,"Activo"
801180,"Activo"
801181,"Activo"
801182,"Activo"
801183,"Activo"
801184,"Activo"
801185,"Activo"
801186,"Activo"
801187,"Activo"
801188,"Activo"
801189,"Activo"
801190,"Activo"
801191,"Activo"
801192,"Activo"
801193,"Activo"
801194,"Activo"
801195,"Activo"
801196,"Activo"
801197,"Activo"
801198,"Activo"
801199,"Activo"
801200,"Activo"
801201,"Activo"
801202,"Activo"
801203,"Activo"
801204,"Activo"
801205,"Activo"
801206,"Activo"
801207,"Activo"
801208,"Activo"
801209,"Activo"
801210,"Activo"
801211,"Activo"
801212,"Activo"
801213,"Activo"
801214,"Activo"
801215,"Activo"
801216,"Activo"
801217,"Activo"
801218,"Activo"
801219,"Activo"
801220,"Activo"
801221,"Activo"
801222,"Activo"
801223,"Activo"
801224,"Activo"
801225,"Activo"
801226,"Activo"
801227,"Activo"
801228,"Activo"
801229,"Activo"
801230,"Activo"
801231,"Activo"
801232,"Activo"
801233,"Activo"
801234,"Activo"
801235,"Activo"
801236,"Activo"
801237,"Activo"
801238,"Activo"
801239,"Activo"
801240,"Activo"
801241,"Activo"
801242,"Activo"
801243,"Activo"
801244,"Activo"
801245,"Activo"
801246,"Activo"
801247,"Activo"
801248,"Activo"
801249,"Activo"
801250,"Activo"
801251,"Activo"
801252,"Activo"
801253,"Activo"
801254,"Activo"
801255,"Activo"
801256,"Activo"
801257,"Activo"
801258,"Activo"
801259,"Activo"
801260,"Activo"
801261,"Activo"
801262,"Activo"
801263,"Activo"
801264,"Activo"
801265,"Activo"
801266,"Activo"
801267,"Activo"
801268,"Activo"
801269,"Activo"
801270,"Activo"
801271,"Activo"
801272,"Activo"
801273,"Activo"
801274,"Activo"
801275,"Activo"
801276,"Activo"
801277,"Activo"
801278,"Activo"
801279,"Activo"
801280,"Activo"
801281,"Activo"
801282,"Activo"
801283,"Activo"
801284,"Activo"
801285,"Activo"
801286,"Activo"
801287,"Activo"
801288,"Activo"
801289,"Activo"
801290,"Activo"
801291,"Activo"
801292,"Activo"
801293,"Activo"
801294,"Activo"
801295,"Activo"
801296,"Activo"
801297,"Activo"
801298,"Activo"
801299,"Activo"
801300,"Activo"
801301,"Activo"
801302,"Activo"
801303,"Activo"
801304,"Activo"
801305,"Activo"
801306,"Activo"
801307,"Activo"
801308,"Activo"
801309,"Activo"
801310,"Activo"
801311,"Activo"
801312,"Activo"
801313,"Activo"
801314,"Activo"
801315,"Activo"
801316,"Activo"
801317,"Activo"
801318,"Activo"
801319,"Activo"
801320,"Activo"
801321,"Activo"
801322,"Activo"
801323,"Activo"
801324,"Activo"
801325,"Activo"
801326,"Activo"
801327,"Activo"
801328,"Activo"
801329,"Activo"
801330,"Activo"
801331,"Activo"
801332,"Activo"
801333,"Activo"
801334,"Activo"
801335,"Activo"
801336,"Activo"
801337,"Activo"
801338,"Activo"
801339,"Activo"
801340,"Activo"
801341,"Activo"
801342,"Activo"
801343,"Activo"
801344,"Activo"
801345,"Activo"
801346,"Activo"
801347,"Activo"
801348,"Activo"
801349,"Activo"
801350,"Activo"
801351,"Activo"
801352,"Activo"
801353,"Activo"
801354,"Activo"
801355,"Activo"
801356,"Activo"
801357,"Activo"
801358,"Activo"
801359,"Activo"
801360,"Activo"
801361,"Activo"
801362,"Activo"
801363,"Activo"
801364,"Activo"
801365,"Activo"
801366,"Activo"
801367,"Activo"
801368,"Activo"
801369,"Activo"
801370,"Activo"
801371,"Activo"
801372,"Activo"
801373,"Activo"
801374,"Activo"
801375,"Activo"
801376,"Activo"
801377,"Activo"
801378,"Activo"
801379,"Activo"
801380,"Activo"
801381,"Activo"
801382,"Activo"
801383,"Activo"
801384,"Activo"
801385,"Activo"
801386,"Activo"
801387,"Activo"
801388,"Activo"
801389,"Activo"
801390,"Activo"
801391,"Activo"
801392,"Activo"
801393,"Activo"
801394,"Activo"
801395,"Activo"
801396,"Activo"
801397,"Activo"
801398,"Activo"
801399,"Activo"
801400,"Activo"
801401,"Activo"
801402,"Activo"
801403,"Activo"
801404,"Activo"
801405,"Activo"
801406,"Activo"
801407,"Activo"
806001,"Activo"
806002,"Activo"
806003,"Activo"
806004,"Activo"
806005,"Activo"
806006,"Activo"
806008,"Activo"
806009,"Activo"
806012,"Activo"
806014,"Activo"
806015,"Activo"
806016,"Activo"
806017,"Activo"
806018,"Activo"
806019,"Activo"
806020,"Activo"
806021,"Activo"
806022,"Activo"
806023,"Activo"
806024,"Activo"
806025,"Activo"
806026,"Activo"
806027,"Activo"
806028,"Activo"
806029,"Activo"
806030,"Activo"
808001,"Activo"
808002,"Activo"
808003,"Activo"
808004,"Activo"
808005,"Activo"
808006,"Activo"
808007,"Activo"
808008,"Activo"
808009,"Activo"
808010,"Activo"
808011,"Activo"
808012,"Activo"
808013,"Activo"
808014,"Activo"
808015,"Activo"
808016,"Activo"
808017,"Activo"
808018,"Activo"
808019,"Activo"
808020,"Activo"
808021,"Activo"
808022,"Activo"
808023,"Activo"
808024,"Activo"
808025,"Activo"
808026,"Activo"
808027,"Activo"
808028,"Activo"
808029,"Activo"
808030,"Activo"
808031,"Activo"
808032,"Activo"
808033,"Activo"
808034,"Activo"
808035,"Activo"
808036,"Activo"
808037,"Activo"
808038,"Activo"
808039,"Activo"
808040,"Activo"
808041,"Activo"
808042,"Activo"
808043,"Activo"
808044,"Activo"
808045,"Activo"
808046,"Activo"
808047,"Activo"
808048,"Activo"
808049,"Activo"
808050,"Activo"
808051,"Activo"
808052,"Activo"
808053,"Activo"
808054,"Activo"
808055,"Activo"
808056,"Activo"
817005,"Activo"
817006,"Activo"
817011,"Activo"
817012,"Activo"
817013,"Activo"
817014,"Activo"
817015,"Activo"
817016,"Activo"
817019,"Activo"
817020,"Activo"
817021,"Activo"
817022,"Activo"
817023,"Activo"
817024,"Activo"
817025,"Activo"
817026,"Activo"
817027,"Activo"
817028,"Activo"
817029,"Activo"
817030,"Activo"
817031,"Activo"
817032,"Activo"
817033,"Activo"
817034,"Activo"
817035,"Activo"
817036,"Activo"
817037,"Activo"
817038,"Activo"
817039,"Activo"
817040,"Activo"
817041,"Activo"
817042,"Activo"
817043,"Activo"
817044,"Activo"
817045,"Activo"
817046,"Activo"
817047,"Activo"
817048,"Activo"
817049,"Activo"
817050,"Activo"
817051,"Activo"
817052,"Activo"
817053,"Activo"
817054,"Activo"
817055,"Activo"
817056,"Activo"
817057,"Activo"
817058,"Activo"
817059,"Activo"
817060,"Activo"
817061,"Activo"
817062,"Activo"
817063,"Activo"
817064,"Activo"
817065,"Activo"
817066,"Activo"
903001,"Activo"
903002,"Activo"
903003,"Activo"
903004,"Activo"
903006,"Activo"
904001,"Activo"
904002,"Activo"
904003,"Activo"
910001,"Activo"
910080,"Activo"
910082,"Activo"
911001,"Activo"
911002,"Activo"
912001,"Activo"
912002,"Activo"
922003,"Activo"
926001,"Activo"
926002,"Activo"
1001007,"Activo"
1001008,"Activo"
1001015,"Activo"
1001016,"Activo"
1001017,"Activo"
1001018,"Activo"
1001019,"Activo"
1001020,"Activo"
1001021,"Activo"
1006001,"Activo"
1117001,"Activo"
1117002,"Activo"
1117003,"Activo"
1117004,"Activo"
1117005,"Activo"
1117006,"Activo"
1117007,"Activo"
1117008,"Activo"
1117009,"Activo"
1201005,"Activo"
1201006,"Activo"
1201007,"Activo"
1201008,"Activo"
1201009,"Activo"
1208001,"Activo"
1208002,"Activo"
1208003,"Activo"
1208004,"Activo"
1208005,"Activo"
1221001,"Activo"
1508001,"Activo"
1508002,"Activo"
1508003,"Activo"
1601001,"Activo"
1601005,"Activo"
1601006,"Activo"
1601007,"Activo"
1601010,"Activo"
1601011,"Activo"
1601012,"Activo"
1601013,"Activo"
1601014,"Activo"
1601024,"Activo"
1601025,"Activo"
1601026,"Activo"
1601029,"Activo"
1601030,"Activo"
1601031,"Activo"
1601034,"Activo"
1601035,"Activo"
1601036,"Activo"
1601037,"Activo"
1601038,"Activo"
1601039,"Activo"
1601040,"Activo"
1601041,"Activo"
1601042,"Activo"
1601043,"Activo"
1601044,"Activo"
1601045,"Activo"
1601046,"Activo"
1601047,"Activo"
1601048,"Activo"
1601049,"Activo"
1601050,"Activo"
1601052,"Activo"
1601055,"Activo"
1601057,"Activo"
1601058,"Activo"
1601059,"Activo"
1601060,"Activo"
1601061,"Activo"
1601062,"Activo"
1601063,"Activo"
1601064,"Activo"
1601065,"Activo"
1601066,"Activo"
1601068,"Activo"
1601069,"Activo"
1601070,"Activo"
1601071,"Activo"
1601072,"Activo"
1601073,"Activo"
1601075,"Activo"
1601076,"Activo"
1601078,"Activo"
1601081,"Activo"
1601084,"Activo"
1601085,"Activo"
1601086,"Activo"
1601088,"Activo"
1601089,"Activo"
1601092,"Activo"
1601093,"Activo"
1601094,"Activo"
1601096,"Activo"
1601097,"Activo"
1601099,"Activo"
1601100,"Activo"
1601101,"Activo"
1601102,"Activo"
1601103,"Activo"
1601104,"Activo"
1601105,"Activo"
1601106,"Activo"
1601107,"Activo"
1601110,"Activo"
1601111,"Activo"
1601113,"Activo"
1601114,"Activo"
1601118,"Activo"
1601119,"Activo"
1601120,"Activo"
1601121,"Activo"
1601122,"Activo"
1601123,"Activo"
1601124,"Activo"
1601125,"Activo"
1601126,"Activo"
1601127,"Activo"
1601128,"Activo"
1601129,"Activo"
1601131,"Activo"
1601132,"Activo"
1601133,"Activo"
1601136,"Activo"
1601137,"Activo"
1601138,"Activo"
1601140,"Activo"
1601141,"Activo"
1601142,"Activo"
1601146,"Activo"
1601147,"Activo"
1601148,"Activo"
1601149,"Activo"
1601150,"Activo"
1601154,"Activo"
1601155,"Activo"
1601156,"Activo"
1601157,"Activo"
1601159,"Activo"
1601160,"Activo"
1601161,"Activo"
1601164,"Activo"
1601165,"Activo"
1601166,"Activo"
1601167,"Activo"
1601169,"Activo"
1601170,"Activo"
1601171,"Activo"
1601172,"Activo"
1601173,"Activo"
1601174,"Activo"
1601181,"Activo"
1601182,"Activo"
1601184,"Activo"
1601187,"Activo"
1601188,"Activo"
1601189,"Activo"
1601190,"Activo"
1601191,"Activo"
1601192,"Activo"
1601193,"Activo"
1601194,"Activo"
1601195,"Activo"
1601196,"Activo"
1601198,"Activo"
1601199,"Activo"
1601200,"Activo"
1601201,"Activo"
1601202,"Activo"
1601203,"Activo"
1601204,"Activo"
1601205,"Activo"
1601206,"Activo"
1601207,"Activo"
1601208,"Activo"
1601209,"Activo"
1601210,"Activo"
1601211,"Activo"
1601212,"Activo"
1601213,"Activo"
1601214,"Activo"
1601215,"Activo"
1601216,"Activo"
1601217,"Activo"
1601218,"Activo"
1601219,"Activo"
1601220,"Activo"
1601221,"Activo"
1601222,"Activo"
1601223,"Activo"
1601224,"Activo"
1601225,"Activo"
1601226,"Activo"
1601227,"Activo"
1601228,"Activo"
1601229,"Activo"
1601230,"Activo"
1601231,"Activo"
1601232,"Activo"
1601233,"Activo"
1601234,"Activo"
1601235,"Activo"
1601236,"Activo"
1601237,"Activo"
1601238,"Activo"
1601239,"Activo"
1601240,"Activo"
1601241,"Activo"
1601242,"Activo"
1601243,"Activo"
1601244,"Activo"
1601245,"Activo"
1601246,"Activo"
1601247,"Activo"
1601248,"Activo"
1601249,"Activo"
1601250,"Activo"
1601251,"Activo"
1601252,"Activo"
1601253,"Activo"
1601254,"Activo"
1601255,"Activo"
1601256,"Activo"
1601257,"Activo"
1601258,"Activo"
1601259,"Activo"
1601260,"Activo"
1601261,"Activo"
1601262,"Activo"
1601263,"Activo"
1601264,"Activo"
1601265,"Activo"
1601266,"Activo"
1601267,"Activo"
1601268,"Activo"
1601269,"Activo"
1601270,"Activo"
1601271,"Activo"
1601272,"Activo"
1601273,"Activo"
1601274,"Activo"
1601275,"Activo"
1601276,"Activo"
1601277,"Activo"
1601278,"Activo"
1601279,"Activo"
1601280,"Activo"
1601281,"Activo"
1601282,"Activo"
1601283,"Activo"
1601284,"Activo"
1601285,"Activo"
1601286,"Activo"
1601287,"Activo"
1601288,"Activo"
1601289,"Activo"
1601290,"Activo"
1601291,"Activo"
1601292,"Activo"
1601293,"Activo"
1601294,"Activo"
1601295,"Activo"
1601296,"Activo"
1601297,"Activo"
1601298,"Activo"
1601299,"Activo"
1601300,"Activo"
1601301,"Activo"
1601302,"Activo"
1601303,"Activo"
1601304,"Activo"
1601305,"Activo"
1601306,"Activo"
1601307,"Activo"
1601308,"Activo"
1601309,"Activo"
1601310,"Activo"
1601311,"Activo"
1601312,"Activo"
1601313,"Activo"
1601314,"Activo"
1601315,"Activo"
1601316,"Activo"
1601317,"Activo"
1603001,"Activo"
1603003,"Activo"
1603004,"Activo"
1603005,"Activo"
1603011,"Activo"
1603012,"Activo"
1603013,"Activo"
1603014,"Activo"
1603016,"Activo"
1603017,"Activo"
1603018,"Activo"
1603019,"Activo"
1603020,"Activo"
1603021,"Activo"
1603022,"Activo"
1603023,"Activo"
1603024,"Activo"
1603027,"Activo"
1603029,"Activo"
1603030,"Activo"
1603032,"Activo"
1603035,"Activo"
1603036,"Activo"
1603037,"Activo"
1603038,"Activo"
1603040,"Activo"
1603080,"Activo"
1603081,"Activo"
1603084,"Activo"
1603100,"Activo"
1603103,"Activo"
1603104,"Activo"
1603105,"Activo"
1603106,"Activo"
1603108,"Activo"
1603109,"Activo"
1603110,"Activo"
1603111,"Activo"
1603112,"Activo"
1603113,"Activo"
1603114,"Activo"
1603115,"Activo"
1603116,"Activo"
1603117,"Activo"
1603118,"Activo"
1603119,"Activo"
1603120,"Activo"
1603121,"Activo"
1603122,"Activo"
1603123,"Activo"
1603124,"Activo"
1603125,"Activo"
1603126,"Activo"
1603127,"Activo"
1603128,"Activo"
1603129,"Activo"
1603130,"Activo"
1603131,"Activo"
1603132,"Activo"
1603133,"Activo"
1603134,"Activo"
1603135,"Activo"
1603136,"Activo"
1603137,"Activo"
1603138,"Activo"
1603139,"Activo"
1603140,"Activo"
1603141,"Activo"
1604001,"Activo"
1604002,"Activo"
1604003,"Activo"
1604004,"Activo"
1604005,"Activo"
1604006,"Activo"
1604007,"Activo"
1604008,"Activo"
1604017,"Activo"
1604018,"Activo"
1604019,"Activo"
1604021,"Activo"
1604022,"Activo"
1604024,"Activo"
1604025,"Activo"
1604026,"Activo"
1604027,"Activo"
1604030,"Activo"
1604033,"Activo"
1604039,"Activo"
1604042,"Activo"
1604047,"Activo"
1604048,"Activo"
1604051,"Activo"
1604054,"Activo"
1604056,"Activo"
1604058,"Activo"
1604062,"Activo"
1604063,"Activo"
1604064,"Activo"
1604065,"Activo"
1604066,"Activo"
1604067,"Activo"
1604068,"Activo"
1604069,"Activo"
1604070,"Activo"
1604071,"Activo"
1604072,"Activo"
1604073,"Activo"
1604074,"Activo"
1604075,"Activo"
1604076,"Activo"
1604077,"Activo"
1604078,"Activo"
1604079,"Activo"
1604080,"Activo"
1604081,"Activo"
1604082,"Activo"
1604083,"Activo"
1604084,"Activo"
1604085,"Activo"
1604086,"Activo"
1604087,"Activo"
1604088,"Activo"
1604089,"Activo"
1604090,"Activo"
1604091,"Activo"
1604092,"Activo"
1604093,"Activo"
1604094,"Activo"
1604095,"Activo"
1604096,"Activo"
1604097,"Activo"
1604098,"Activo"
1606009,"Activo"
1606011,"Activo"
1606034,"Activo"
1606035,"Activo"
1606036,"Activo"
1606037,"Activo"
1606038,"Activo"
1606039,"Activo"
1606043,"Activo"
1606044,"Activo"
1606046,"Activo"
1606054,"Activo"
1606055,"Activo"
1606060,"Activo"
1606063,"Activo"
1606072,"Activo"
1606085,"Activo"
1606086,"Activo"
1606091,"Activo"
1606100,"Activo"
1606194,"Activo"
1606196,"Activo"
1606197,"Activo"
1606198,"Activo"
1606199,"Activo"
1606200,"Activo"
1606202,"Activo"
1606203,"Activo"
1606204,"Activo"
1606205,"Activo"
1606206,"Activo"
1606207,"Activo"
1606208,"Activo"
1606209,"Activo"
1606210,"Activo"
1606211,"Activo"
1606212,"Activo"
1606213,"Activo"
1606214,"Activo"
1606215,"Activo"
1606216,"Activo"
1606217,"Activo"
1606218,"Activo"
1606219,"Activo"
1606220,"Activo"
1606221,"Activo"
1606222,"Activo"
1606223,"Activo"
1606224,"Activo"
1606225,"Activo"
1606226,"Activo"
1606227,"Activo"
1606228,"Activo"
1606229,"Activo"
1606230,"Activo"
1606231,"Activo"
1606232,"Activo"
1606233,"Activo"
1606234,"Activo"
1606235,"Activo"
1607004,"Activo"
1607005,"Activo"
1607008,"Activo"
1607009,"Activo"
1607010,"Activo"
1607011,"Activo"
1607012,"Activo"
1608005,"Activo"
1608006,"Activo"
1608007,"Activo"
1608008,"Activo"
1608009,"Activo"
1608010,"Activo"
1608012,"Activo"
1608013,"Activo"
1608014,"Activo"
1608015,"Activo"
1608016,"Activo"
1608017,"Activo"
1608018,"Activo"
1608019,"Activo"
1608021,"Activo"
1608022,"Activo"
1608023,"Activo"
1608025,"Activo"
1608026,"Activo"
1608028,"Activo"
1608030,"Activo"
1608032,"Activo"
1608035,"Activo"
1608036,"Activo"
1608044,"Activo"
1608046,"Activo"
1608047,"Activo"
1608048,"Activo"
1608049,"Activo"
1608050,"Activo"
1608051,"Activo"
1608052,"Activo"
1608053,"Activo"
1608054,"Activo"
1608055,"Activo"
1608056,"Activo"
1608057,"Activo"
1608058,"Activo"
1610001,"Activo"
1610002,"Activo"
1610003,"Activo"
1610004,"Activo"
1610005,"Activo"
1610006,"Activo"
1610008,"Activo"
1610010,"Activo"
1610012,"Activo"
1610013,"Activo"
1610014,"Activo"
1610015,"Activo"
1610016,"Activo"
1610017,"Activo"
1610018,"Activo"
1610019,"Activo"
1610020,"Activo"
1610022,"Activo"
1610023,"Activo"
1610024,"Activo"
1610027,"Activo"
1610031,"Activo"
1610032,"Activo"
1610033,"Activo"
1610034,"Activo"
1610035,"Activo"
1610036,"Activo"
1610037,"Activo"
1610038,"Activo"
1610039,"Activo"
1610040,"Activo"
1610041,"Activo"
1610042,"Activo"
1610043,"Activo"
1610044,"Activo"
1610045,"Activo"
1610046,"Activo"
1610047,"Activo"
1610048,"Activo"
1610049,"Activo"
1610050,"Activo"
1610051,"Activo"
1610052,"Activo"
1610053,"Activo"
1610054,"Activo"
1610055,"Activo"
1610056,"Activo"
1610057,"Activo"
1610058,"Activo"
1610059,"Activo"
1610060,"Activo"
1610061,"Activo"
1610062,"Activo"
1610063,"Activo"
1610064,"Activo"
1610065,"Activo"
1610066,"Activo"
1610067,"Activo"
1610068,"Activo"
1610069,"Activo"
1610070,"Activo"
1610071,"Activo"
1610072,"Activo"
1610073,"Activo"
1610074,"Activo"
1610075,"Activo"
1610076,"Activo"
1610077,"Activo"
1610078,"Activo"
1610079,"Activo"
1610080,"Activo"
1610081,"Activo"
1611027,"Activo"
1611031,"Activo"
1611039,"Activo"
1611043,"Activo"
1611045,"Activo"
1611047,"Activo"
1611049,"Activo"
1611050,"Activo"
1611052,"Activo"
1611053,"Activo"
1611054,"Activo"
1611055,"Activo"
1611056,"Activo"
1611057,"Activo"
1611058,"Activo"
1611059,"Activo"
1611062,"Activo"
1611064,"Activo"
1611065,"Activo"
1611066,"Activo"
1611067,"Activo"
1611068,"Activo"
1611080,"Activo"
1611081,"Activo"
1611083,"Activo"
1611084,"Activo"
1611085,"Activo"
1611086,"Activo"
1611087,"Activo"
1611089,"Activo"
1611090,"Activo"
1611091,"Activo"
1611092,"Activo"
1611093,"Activo"
1611094,"Activo"
1611095,"Activo"
1611096,"Activo"
1611097,"Activo"
1611098,"Activo"
1611099,"Activo"
1611100,"Activo"
1611101,"Activo"
1611102,"Activo"
1611103,"Activo"
1611104,"Activo"
1611105,"Activo"
1611106,"Activo"
1611107,"Activo"
1611108,"Activo"
1611109,"Activo"
1611110,"Activo"
1611111,"Activo"
1611112,"Activo"
1611114,"Activo"
1611115,"Activo"
1611116,"Activo"
1611117,"Activo"
1611118,"Activo"
1611119,"Activo"
1611120,"Activo"
1611121,"Activo"
1611122,"Activo"
1611123,"Activo"
1611124,"Activo"
1611125,"Activo"
1611126,"Activo"
1611127,"Activo"
